qseqid	sseqid	qlen	slen	length	pident	qcovhsp	evalue	bitscore	max_bitscore	norm_bitscore
Unknown_BF302-01R0001_00046	ere:EUBREC_0716	442	442	442	98.9	100	3.17e-295	806	881.3	0.915
Unknown_BF302-01R0001_00047	ere:EUBREC_0715	302	302	302	99.0	100	5.66e-200	553	584.7	0.946
Unknown_BF302-01R0001_00048	ere:EUBREC_0714	227	227	227	98.7	100	1.83e-154	432	442.2	0.977
Unknown_BF302-01R0001_00048	rho:RHOM_02585	227	251	219	79.0	96.5	9.92e-121	348	492.7	0.706
Unknown_BF302-01R0001_00049	ere:EUBREC_0713	361	361	361	100	100	9.45e-256	699	704.9	0.992
Unknown_BF302-01R0001_00049	rho:RHOM_02580	361	362	362	86.7	100	1.03e-225	624	708.4	0.881
Unknown_BF302-01R0001_00049	anr:Ana3638_07490	361	362	362	78.5	100	8.73e-204	568	704.5	0.806
Unknown_BF302-01R0001_00049	cpy:Cphy_3610	361	362	362	77.9	100	8.32e-202	563	705.3	0.798
Unknown_BF302-01R0001_00049	coo:CCU_13290	361	362	362	76.8	100	1.68e-201	562	706.1	0.796
Unknown_BF302-01R0001_00049	csh:Closa_0794	361	362	362	77.1	100	2.38e-201	562	706.4	0.796
Unknown_BF302-01R0001_00050	ere:EUBREC_0711	227	227	227	98.7	100	7.75e-156	436	448.0	0.973
Unknown_BF302-01R0001_00051	ere:EUBREC_0710	411	411	411	99.5	100	1.10e-231	643	794.7	0.809
Unknown_BF302-01R0001_00052	ere:EUBREC_0709	124	124	124	99.2	100	1.12e-82	242	245.0	0.988
Unknown_BF302-01R0001_00052	rho:RHOM_02555	124	124	124	92.7	100	2.86e-76	226	241.1	0.937
Unknown_BF302-01R0001_00053	ere:EUBREC_0708	278	278	278	99.3	100	3.87e-195	539	545.8	0.988
Unknown_BF302-01R0001_00058	ere:EUBREC_0703	894	925	870	97.5	97.3	0.0	1652	1853.2	0.891
Unknown_BF302-01R0001_00059	ere:EUBREC_0702	585	585	585	99.8	100	0.0	1142	1163.7	0.981
Unknown_BF302-01R0001_00059	bpb:bpr_I0120	585	620	590	80.3	100	0.0	940	1236.9	0.76
Unknown_BF302-01R0001_00060	ere:EUBREC_0701	707	707	707	99.9	100	0.0	1389	1407.9	0.987
Unknown_BF302-01R0001_00060	rho:RHOM_02515	707	706	707	86.8	100	0.0	1233	1403.3	0.879
Unknown_BF302-01R0001_00060	rto:RTO_14420	707	704	703	79.7	99.4	0.0	1123	1400.2	0.802
Unknown_BF302-01R0001_00060	rob:CK5_21550	707	704	703	77.5	99.4	0.0	1111	1409.0	0.789
Unknown_BF302-01R0001_00061	ere:EUBREC_0700	288	288	288	99.7	100	5.57e-209	575	577.8	0.995
Unknown_BF302-01R0001_00061	rho:RHOM_02510	288	289	287	96.9	99.7	2.08e-202	558	580.1	0.962
Unknown_BF302-01R0001_00061	coo:CCU_19130	288	289	287	92.0	99.7	1.23e-194	539	581.6	0.927
Unknown_BF302-01R0001_00061	pxv:FXF36_07625	288	287	287	89.5	99.7	4.99e-189	525	577.8	0.909
Unknown_BF302-01R0001_00061	bpb:bpr_I2903	288	287	287	90.2	99.7	7.09e-189	524	574.3	0.912
Unknown_BF302-01R0001_00061	rto:RTO_14410	288	287	287	86.1	99.7	1.26e-182	508	577.8	0.879
Unknown_BF302-01R0001_00061	eel:EUBELI_01833	288	287	287	85.7	99.7	3.44e-180	502	576.2	0.871
Unknown_BF302-01R0001_00061	rob:CK5_21960	288	287	287	86.1	99.7	4.89e-180	502	575.1	0.873
Unknown_BF302-01R0001_00061	cbol:CGC65_27150	288	287	287	84.3	99.7	6.64e-178	496	572.8	0.866
Unknown_BF302-01R0001_00061	bprm:CL3_26250	288	287	287	84.7	99.7	4.47e-176	492	571.6	0.861
Unknown_BF302-01R0001_00061	csh:Closa_0465	288	287	287	84.7	99.7	4.27e-174	487	574.7	0.847
Unknown_BF302-01R0001_00061	bprs:CK3_00680	288	288	288	81.9	100	1.27e-173	486	578.2	0.841
Unknown_BF302-01R0001_00061	ral:Rumal_2608	288	287	287	82.9	99.7	8.24e-172	481	577.0	0.834
Unknown_BF302-01R0001_00061	bprl:CL2_05180	288	289	288	82.6	100	1.79e-171	480	579.3	0.829
Unknown_BF302-01R0001_00061	lua:D4A81_05460	288	287	287	81.5	99.7	4.76e-171	479	573.5	0.835
Unknown_BF302-01R0001_00061	ehl:EHLA_0347	288	289	287	81.9	99.7	1.03e-170	478	577.8	0.827
Unknown_BF302-01R0001_00061	anr:Ana3638_07130	288	287	287	81.9	99.7	9.17e-169	473	571.2	0.828
Unknown_BF302-01R0001_00061	cpy:Cphy_3683	288	288	288	80.6	100	1.57e-167	470	572.8	0.821
Unknown_BF302-01R0001_00061	esr:ES1_19480	288	287	287	79.8	99.7	1.45e-165	465	575.5	0.808
Unknown_BF302-01R0001_00061	eha:Ethha_2707	288	288	286	80.4	99.3	5.01e-164	461	565.8	0.815
Unknown_BF302-01R0001_00061	fit:Fi14EGH31_27000	288	288	286	78.3	99.3	5.01e-164	461	574.7	0.802
Unknown_BF302-01R0001_00062	csci:HDCHBGLK_00663	294	321	292	62.3	99.0	1.21e-129	376	646.4	0.582
Unknown_BF302-01R0001_00062	ccom:I6K69_12995	294	298	291	60.1	99.0	1.10e-129	375	601.7	0.623
Unknown_BF302-01R0001_00062	rgn:RGna_08720	294	326	291	61.2	99.0	1.17e-128	374	657.5	0.569
Unknown_BF302-01R0001_00062	byl:A4V09_15440	294	306	293	56.3	99.7	4.23e-112	331	611.3	0.541
Unknown_BF302-01R0001_00062	tsg:HLK68_06745	294	296	293	50.9	99.7	1.02e-100	301	593.2	0.507
Unknown_BF302-01R0001_00063	ere:EUBREC_0698	289	289	289	99.0	100	2.52e-201	556	564.7	0.985
Unknown_BF302-01R0001_00064	ere:EUBREC_0697	291	291	291	99.3	100	2.02e-208	574	582.0	0.986
Unknown_BF302-01R0001_00065	ere:EUBREC_0696	319	314	319	95.6	100	1.03e-207	574	612.8	0.937
Unknown_BF302-01R0001_00067	ere:EUBREC_0694	313	313	313	98.7	100	9.01e-223	612	624.0	0.981
Unknown_BF302-01R0001_00068	ere:EUBREC_0693	624	624	624	99.5	100	0.0	1229	1248.8	0.984
Unknown_BF302-01R0001_00069	ere:EUBREC_0691	707	707	703	98.3	99.4	0.0	1254	1391.3	0.901
Unknown_BF302-01R0001_00070	ere:EUBREC_0690	534	534	534	99.6	100	0.0	1090	1097.4	0.993
Unknown_BF302-01R0001_00070	rho:RHOM_02460	534	535	529	89.0	99.1	0.0	971	1088.6	0.892
Unknown_BF302-01R0001_00070	bpb:bpr_I0092	534	536	529	80.3	99.1	0.0	891	1091.3	0.816
Unknown_BF302-01R0001_00070	eel:EUBELI_01684	534	561	529	79.8	99.1	0.0	880	1149.8	0.765
Unknown_BF302-01R0001_00070	rto:RTO_24860	534	538	529	79.4	99.1	0.0	874	1093.2	0.799
Unknown_BF302-01R0001_00073	ere:EUBREC_0687	167	167	167	98.8	100	1.09e-121	344	350.5	0.981
Unknown_BF302-01R0001_00075	ere:EUBREC_0685	212	226	212	98.1	100	3.89e-154	431	464.5	0.928
Unknown_BF302-01R0001_00076	ere:EUBREC_0684	258	258	258	98.8	100	6.41e-184	509	516.2	0.986
Unknown_BF302-01R0001_00079	ere:EUBREC_0680	353	353	353	99.4	100	2.40e-254	695	704.5	0.987
Unknown_BF302-01R0001_00083	ere:EUBREC_0676	84	84	84	100	100	1.18e-54	168	167.9	1
Unknown_BF302-01R0001_00086	ere:EUBREC_0673	277	279	277	98.9	100	1.38e-188	523	548.5	0.954
Unknown_BF302-01R0001_00090	ere:EUBREC_0669	231	231	231	100	100	7.55e-174	481	481.1	1.0
Unknown_BF302-01R0001_00090	rho:RHOM_06050	231	231	231	89.6	100	5.22e-156	436	483.8	0.901
Unknown_BF302-01R0001_00091	lpl:lp_3556	532	533	528	53.4	99.2	1.59e-199	571	1062.8	0.537
Unknown_BF302-01R0001_00092	ere:EUBREC_0667	594	594	594	99.0	100	0.0	1100	1146.7	0.959
Unknown_BF302-01R0001_00093	ere:EUBREC_0666	519	519	519	98.3	100	0.0	996	1025.4	0.971
Unknown_BF302-01R0001_00095	ere:EUBREC_0664	123	122	122	100	99.2	3.01e-75	223	237.7	0.938
Unknown_BF302-01R0001_00097	ere:EUBREC_0662	403	403	403	97.5	100	8.71e-296	804	829.3	0.969
Unknown_BF302-01R0001_00101	coo:CCU_01260	406	406	406	100	100	8.53e-284	774	793.9	0.975
Unknown_BF302-01R0001_00101	lacy:A4V08_14555	406	406	406	100	100	8.53e-284	774	793.9	0.975
Unknown_BF302-01R0001_00101	ebm:SG0102_00430	406	406	406	100	100	8.53e-284	774	793.9	0.975
Unknown_BF302-01R0001_00101	tsu:Tresu_1921	406	406	406	100	100	8.53e-284	774	793.9	0.975
Unknown_BF302-01R0001_00101	rho:RHOM_11050	406	406	406	99.8	100	4.93e-283	772	793.5	0.973
Unknown_BF302-01R0001_00101	rob:CK5_10720	406	406	406	99.8	100	4.93e-283	772	793.9	0.972
Unknown_BF302-01R0001_00107	rho:RHOM_11090	503	503	503	100	100	0.0	995	1003.4	0.992
Unknown_BF302-01R0001_00107	coo:CCU_01330	503	503	503	100	100	0.0	995	1003.4	0.992
Unknown_BF302-01R0001_00107	rob:CK5_10800	503	503	503	100	100	0.0	995	1003.4	0.992
Unknown_BF302-01R0001_00107	tsu:Tresu_1928	503	503	503	100	100	0.0	995	1003.4	0.992
Unknown_BF302-01R0001_00107	cbol:CGC65_07680	503	503	503	96.6	100	0.0	969	1003.8	0.965
Unknown_BF302-01R0001_00107	bprm:CL3_24290	503	503	503	96.6	100	0.0	969	1003.8	0.965
Unknown_BF302-01R0001_00107	bprs:CK3_17470	503	503	503	97.2	100	0.0	966	1002.3	0.964
Unknown_BF302-01R0001_00107	sman:C12CBH8_14310	503	503	503	96.8	100	0.0	964	1001.1	0.963
Unknown_BF302-01R0001_00107	vfa:MM35RIKEN_08510	503	503	503	95.6	100	0.0	956	1001.9	0.954
Unknown_BF302-01R0001_00107	ibu:IB211_00718c	503	503	503	95.0	100	0.0	951	1003.8	0.947
Unknown_BF302-01R0001_00107	ruk:A4V00_02895	503	503	503	94.0	100	0.0	947	1001.5	0.946
Unknown_BF302-01R0001_00107	fpla:A4U99_16245	503	503	503	94.4	100	0.0	943	1002.7	0.94
Unknown_BF302-01R0001_00107	cbol:CGC65_08435	503	503	503	92.4	100	0.0	927	1004.6	0.923
Unknown_BF302-01R0001_00117	tde:TDE_2625	582	579	582	57.9	100	8.37e-224	637	1119.8	0.569
Unknown_BF302-01R0001_00117	tem:JW646_16400	582	576	582	56.0	100	7.05e-222	632	1130.5	0.559
Unknown_BF302-01R0001_00117	lasa:L9O85_05680	582	577	582	55.7	100	4.18e-221	630	1122.8	0.561
Unknown_BF302-01R0001_00117	ral:Rumal_2036	582	577	582	56.4	100	6.82e-220	627	1126.3	0.557
Unknown_BF302-01R0001_00117	shi:Shel_23130	582	577	582	56.9	100	9.67e-220	626	1122.1	0.558
Unknown_BF302-01R0001_00117	esr:ES1_12790	582	577	582	55.2	100	7.86e-219	624	1121.7	0.556
Unknown_BF302-01R0001_00117	acg:AWM71_02735	582	590	582	55.5	100	2.86e-217	620	1144.8	0.542
Unknown_BF302-01R0001_00117	rob:CK5_03540	582	579	582	55.7	100	9.05e-216	616	1129.8	0.545
Unknown_BF302-01R0001_00117	euu:ADJ67_06320	582	578	582	55.8	100	6.62e-213	609	1130.5	0.539
Unknown_BF302-01R0001_00117	bull:JOS54_02745	582	577	582	54.0	100	5.96e-211	604	1127.5	0.536
Unknown_BF302-01R0001_00117	bhc:JFL75_12575	582	583	582	53.6	100	6.84e-209	599	1134.4	0.528
Unknown_BF302-01R0001_00117	bfi:CIY_34630	582	514	502	58.8	86.3	1.16e-202	580	1001.1	0.579
Unknown_BF302-01R0001_00118	ral:Rumal_2037	587	586	584	58.6	98.6	2.92e-232	659	1155.2	0.57
Unknown_BF302-01R0001_00118	bull:JOS54_02740	587	585	583	57.3	99.3	6.53e-231	655	1146.7	0.571
Unknown_BF302-01R0001_00118	shi:Shel_23120	587	589	576	56.6	98.1	7.59e-226	642	1150.6	0.558
Unknown_BF302-01R0001_00118	euu:ADJ67_06325	587	587	575	57.4	98.0	2.32e-224	639	1149.0	0.556
Unknown_BF302-01R0001_00118	bfi:CIY_34650	587	595	577	57.9	98.3	4.36e-224	638	1174.8	0.543
Unknown_BF302-01R0001_00118	tde:TDE_2626	587	581	580	56.9	98.5	1.08e-218	624	1143.6	0.546
Unknown_BF302-01R0001_00118	esr:ES1_12800	587	586	582	55.8	99.1	3.43e-216	618	1151.0	0.537
Unknown_BF302-01R0001_00118	tem:JW646_16395	587	582	574	55.4	97.8	1.21e-215	616	1136.3	0.542
Unknown_BF302-01R0001_00118	lasa:L9O85_05675	587	585	574	56.3	97.8	5.40e-215	615	1146.7	0.536
Unknown_BF302-01R0001_00118	acg:AWM71_02740	587	581	577	55.8	98.3	2.88e-211	605	1151.7	0.525
Unknown_BF302-01R0001_00118	bhc:JFL75_12580	587	599	574	55.9	97.8	1.08e-210	604	1167.9	0.517
Unknown_BF302-01R0001_00118	dru:Desru_2347	587	580	578	52.6	98.5	2.40e-202	582	1135.9	0.512
Unknown_BF302-01R0001_00118	fwa:DCMF_21195	587	580	577	53.4	98.3	4.82e-202	582	1142.1	0.51
Unknown_BF302-01R0001_00118	dsy:DSY4741	587	580	578	52.9	98.5	4.47e-200	577	1144.0	0.504
Unknown_BF302-01R0001_00122	ert:EUR_02680	197	197	197	99.5	100	1.48e-136	384	400.2	0.96
Unknown_BF302-01R0001_00134	ere:EUBREC_0620	524	524	524	99.4	100	0.0	1047	1057.4	0.99
Unknown_BF302-01R0001_00134	eel:EUBELI_01806	524	524	524	81.9	100	0.0	886	1052.0	0.842
Unknown_BF302-01R0001_00134	rho:RHOM_13030	524	536	522	80.5	99.6	1.81e-311	855	1076.6	0.794
Unknown_BF302-01R0001_00136	ere:EUBREC_0618	90	95	90	98.9	100	6.57e-58	177	190.7	0.928
Unknown_BF302-01R0001_00137	ere:EUBREC_0616	385	388	388	93.8	100	6.39e-260	712	795.8	0.895
Unknown_BF302-01R0001_00138	ere:EUBREC_0615	882	860	882	96.0	100	0.0	1558	1654.4	0.942
Unknown_BF302-01R0001_00140	ere:EUBREC_0613	103	113	103	95.1	100	1.06e-61	188	231.1	0.814
Unknown_BF302-01R0001_00142	ere:EUBREC_0560	397	397	397	99.0	100	4.29e-293	797	805.4	0.99
Unknown_BF302-01R0001_00143	ere:EUBREC_0559	930	930	930	98.3	100	0.0	1790	1859.7	0.963
Unknown_BF302-01R0001_00145	ere:EUBREC_0556	291	291	291	100	100	9.78e-225	615	615.5	0.999
Unknown_BF302-01R0001_00145	rho:RHOM_13085	291	291	291	84.9	100	5.84e-192	532	613.2	0.868
Unknown_BF302-01R0001_00145	eel:EUBELI_01394	291	291	291	81.4	100	1.71e-184	513	613.2	0.837
Unknown_BF302-01R0001_00146	ere:EUBREC_0554	146	146	146	100	100	5.18e-94	273	285.4	0.957
Unknown_BF302-01R0001_00147	ere:EUBREC_0552	420	423	423	90.1	100	4.44e-227	632	826.2	0.765
Unknown_BF302-01R0001_00151	ere:EUBREC_0547	243	243	243	98.4	100	8.10e-175	485	495.0	0.98
Unknown_BF302-01R0001_00155	anr:Ana3638_07925	295	302	292	59.9	99.0	1.17e-125	365	601.3	0.607
Unknown_BF302-01R0001_00155	css:Cst_c04550	295	296	293	50.9	99.3	2.79e-103	308	592.8	0.52
Unknown_BF302-01R0001_00155	coh:EAV92_01225	295	292	291	54.0	98.3	6.97e-103	307	578.6	0.531
Unknown_BF302-01R0001_00155	pjd:Pjdr2_4732	295	305	291	52.2	98.3	4.05e-100	300	595.1	0.504
Unknown_BF302-01R0001_00155	pjd:Pjdr2_0473	295	295	291	51.5	98.6	6.73e-99	297	578.9	0.513
Unknown_BF302-01R0001_00156	anr:Ana3638_07920	303	314	296	60.1	97.4	3.20e-123	360	628.2	0.573
Unknown_BF302-01R0001_00156	css:Cst_c04540	303	304	304	52.3	100	1.11e-111	330	602.4	0.548
Unknown_BF302-01R0001_00156	pjd:Pjdr2_4733	303	306	299	54.5	98.3	3.95e-105	313	616.3	0.508
Unknown_BF302-01R0001_00156	coh:EAV92_01220	303	306	299	53.2	98.3	2.26e-104	311	615.1	0.506
Unknown_BF302-01R0001_00158	ere:EUBREC_0546	564	564	564	99.5	100	0.0	1141	1163.7	0.98
Unknown_BF302-01R0001_00160	ere:EUBREC_0544	295	295	295	98.0	100	4.49e-198	548	581.6	0.942
Unknown_BF302-01R0001_00161	ere:EUBREC_0543	459	423	423	99.5	92.2	6.13e-311	846	860.5	0.983
Unknown_BF302-01R0001_00162	ere:EUBREC_0542	422	441	422	96.0	100	7.90e-295	804	892.1	0.901
Unknown_BF302-01R0001_00164	ere:EUBREC_0539	337	337	337	99.7	100	1.95e-245	671	675.6	0.993
Unknown_BF302-01R0001_00167	bhan:CGC63_04125	346	353	345	55.9	98.3	4.51e-124	365	711.1	0.513
Unknown_BF302-01R0001_00167	cbol:CGC65_14695	346	348	346	52.9	99.7	6.21e-123	362	708.0	0.511
Unknown_BF302-01R0001_00207	ere:EUBREC_0535	616	609	609	98.9	98.9	0.0	1149	1198.0	0.959
Unknown_BF302-01R0001_00208	ere:EUBREC_0534	181	181	181	100	100	1.45e-126	358	358.2	0.999
Unknown_BF302-01R0001_00209	ere:EUBREC_0533	501	514	514	93.6	100	0.0	941	1027.3	0.916
Unknown_BF302-01R0001_00210	ere:EUBREC_0532	613	621	613	98.2	100	0.0	1172	1224.9	0.957
Unknown_BF302-01R0001_00211	ere:EUBREC_0531	97	97	97	100	100	1.18e-51	162	184.9	0.876
Unknown_BF302-01R0001_00214	ere:EUBREC_0527	90	99	90	100	100	9.41e-52	162	189.9	0.853
Unknown_BF302-01R0001_00214	rho:RHOM_02335	90	91	90	90.0	100	6.56e-46	147	174.9	0.84
Unknown_BF302-01R0001_00214	pxv:FXF36_08810	90	90	90	87.8	100	3.68e-45	145	172.6	0.84
Unknown_BF302-01R0001_00214	coo:CCU_21770	90	90	90	84.4	100	1.44e-42	138	174.1	0.793
Unknown_BF302-01R0001_00214	rob:CK5_21200	90	91	90	81.1	100	4.09e-40	132	176.0	0.75
Unknown_BF302-01R0001_00214	bprl:CL2_22840	90	91	90	81.1	100	1.66e-39	130	175.3	0.742
Unknown_BF302-01R0001_00216	ere:EUBREC_0524	446	446	446	98.7	100	0.0	877	896.7	0.978
Unknown_BF302-01R0001_00217	ere:EUBREC_0523	479	479	479	99.8	100	0.0	981	983.8	0.997
Unknown_BF302-01R0001_00218	ere:EUBREC_0522	381	381	381	99.0	100	3.66e-270	738	757.7	0.974
Unknown_BF302-01R0001_00221	ere:EUBREC_0507	258	258	258	98.1	100	1.12e-168	471	493.8	0.954
Unknown_BF302-01R0001_00221	cct:CC1_27730	258	258	258	87.2	100	1.77e-149	422	493.8	0.855
Unknown_BF302-01R0001_00221	rho:RHOM_06320	258	257	257	83.3	99.6	3.84e-146	414	491.5	0.842
Unknown_BF302-01R0001_00221	bprl:CL2_16680	258	258	258	84.5	100	3.98e-146	414	490.7	0.844
Unknown_BF302-01R0001_00221	vfa:MM35RIKEN_15740	258	258	257	82.5	99.6	7.31e-142	403	496.5	0.812
Unknown_BF302-01R0001_00221	fit:Fi14EGH31_22180	258	257	252	81.0	97.7	2.49e-135	386	495.4	0.779
Unknown_BF302-01R0001_00224	ere:EUBREC_0501	251	251	250	98.8	99.6	8.50e-190	523	530.8	0.985
Unknown_BF302-01R0001_00224	phx:KGNDJEFE_01467	251	250	250	77.2	99.6	2.03e-149	421	530.0	0.794
Unknown_BF302-01R0001_00224	tem:JW646_15280	251	250	250	76.4	99.6	1.17e-148	419	523.9	0.8
Unknown_BF302-01R0001_00224	bprs:CK3_00480	251	284	249	75.9	99.2	5.63e-148	419	594.7	0.705
Unknown_BF302-01R0001_00225	ere:EUBREC_0500	748	748	748	98.1	100	0.0	1507	1554.7	0.969
Unknown_BF302-01R0001_00228	suls:Sdiek1_2581	164	157	151	62.3	92.1	6.37e-63	195	323.2	0.603
Unknown_BF302-01R0001_00228	cst:CLOST_0794	164	159	155	58.1	94.5	7.47e-60	187	318.5	0.587
Unknown_BF302-01R0001_00228	amij:EQM06_04910	164	168	159	56.0	97.0	2.85e-59	186	340.5	0.546
Unknown_BF302-01R0001_00228	fsu:Fisuc_2708	164	179	155	56.1	94.5	1.16e-58	185	363.6	0.509
Unknown_BF302-01R0001_00228	cpro:CPRO_27290	164	168	159	55.3	97.0	9.42e-58	182	342.4	0.532
Unknown_BF302-01R0001_00229	ere:EUBREC_0490	491	495	491	99.4	100	0.0	991	1000.7	0.99
Unknown_BF302-01R0001_00229	bhan:CGC63_02505	491	492	488	81.4	99.4	8.69e-302	827	997.7	0.829
Unknown_BF302-01R0001_00230	ere:EUBREC_0489	946	952	946	98.7	100	0.0	1890	1934.1	0.977
Unknown_BF302-01R0001_00231	ere:EUBREC_0488	278	278	278	99.3	100	1.06e-192	533	552.4	0.965
Unknown_BF302-01R0001_00231	fro:AALO17_25880	278	275	275	78.5	98.9	3.03e-157	443	551.6	0.803
Unknown_BF302-01R0001_00231	ccom:I6K69_13850	278	280	275	76.7	98.9	2.22e-151	429	553.9	0.775
Unknown_BF302-01R0001_00232	ere:EUBREC_0487	291	291	291	99.7	100	1.52e-203	561	577.0	0.972
