QUERY	KO	BRITE	CAZY	COG	DISEASE	DRUG	ENZYME	GO	MODULE	NETWORK	PATHWAY	PUBMED	RCLASS	REACTION	TC	VP	DESCRIPTION
Unknown_BF302-01R0002_00072	K04041	br:ko00001;br:ko01000	NA	cog:COG3855	NA	NA	ec:3.1.3.11	go:0042132	md:M00003	NA	path:ko00010;path:ko00030;path:ko00051;path:ko00680;path:ko00710;path:ko01100;path:ko01110;path:ko01120;path:map00010;path:map00030;path:map00051;path:map00680;path:map00710;path:map01100;path:map01110;path:map01120	NA	rc:RC00017	rn:R00762;rn:R04780	NA	NA	fbp3; fructose-1,6-bisphosphatase III
Unknown_BF302-01R0002_00074	K01586	br:ko00001;br:ko01000	NA	cog:COG0019	NA	NA	ec:4.1.1.20	go:0008836	md:M00016;md:M00525;md:M00526;md:M00527	NA	path:ko00300;path:ko00470;path:ko01100;path:ko01110;path:ko01120;path:ko01230;path:map00300;path:map00470;path:map01100;path:map01110;path:map01120;path:map01230	pmid:14343156;pmid:15652176	rc:RC00299	rn:R00451	NA	NA	lysA; diaminopimelate decarboxylase
Unknown_BF302-01R0002_00076	K07096	br:ko00001	NA	cog:COG2129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K07096; uncharacterized protein
Unknown_BF302-01R0002_00077	K07335	br:ko00001;br:ko02000	NA	cog:COG1744	NA	NA	NA	NA	NA	NA	path:ko02010;path:map02010	pmid:16418175;pmid:20595258	NA	NA	tc:3.A.1.2.10;tc:3.A.1.2.12;tc:3.A.1.2.17;tc:3.A.1.2.31	NA	bmpA, bmpB, tmpC; basic membrane protein A and related proteins
Unknown_BF302-01R0002_00078	K16511	br:ko00001	NA	cog:COG4862	NA	NA	NA	NA	NA	NA	NA	pmid:11914365;pmid:12598648	NA	NA	NA	NA	mecA1_2; adapter protein MecA 1/2
Unknown_BF302-01R0002_00079	K03091	br:ko00001;br:ko03021	NA	NA	NA	NA	NA	go:0016987	NA	NA	NA	pmid:18070067	NA	NA	NA	NA	sigH; RNA polymerase sporulation-specific sigma factor
Unknown_BF302-01R0002_00080	K03218	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0566	NA	NA	ec:2.1.1.185	go:0070039	NA	NA	NA	pmid:11698387	NA	NA	NA	NA	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase
Unknown_BF302-01R0002_00081	K11145	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG1939	NA	NA	NA	go:0004525	NA	NA	NA	pmid:18363798;pmid:19880604;pmid:25724636	NA	NA	NA	NA	mrnC; mini-ribonuclease III
Unknown_BF302-01R0002_00082	K01883	br:br01613;br:ko00001;br:ko01000;br:ko01007;br:ko03016	NA	cog:COG0215	ds:H00891;ds:H02132	NA	ec:6.1.1.16	go:0004817	NA	NA	path:ko00970;path:map00970	pmid:18682559	rc:RC00055;rc:RC00523	rn:R03650	NA	NA	CARS, cysS; cysteinyl-tRNA synthetase
Unknown_BF302-01R0002_00083	K01770	br:ko00001;br:ko01000	NA	cog:COG0245	NA	NA	ec:4.6.1.12	go:0008685	md:M00096	NA	path:ko00900;path:ko01100;path:ko01110;path:map00900;path:map01100;path:map01110	pmid:10694574	rc:RC00002;rc:RC01440	rn:R05637	NA	NA	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
Unknown_BF302-01R0002_00084	K00625	br:ko00001;br:ko01000	NA	cog:COG0280	NA	NA	ec:2.3.1.8	go:0008959	md:M00357;md:M00579	NA	path:ko00430;path:ko00620;path:ko00640;path:ko00680;path:ko00720;path:ko01100;path:ko01120;path:ko01200;path:map00430;path:map00620;path:map00640;path:map00680;path:map00720;path:map01100;path:map01120;path:map01200	pmid:8226623	rc:RC00004;rc:RC02746;rc:RC02816	rn:R00230;rn:R00921	NA	NA	E2.3.1.8, pta; phosphate acetyltransferase
Unknown_BF302-01R0002_00085	K01740	br:ko00001;br:ko01000	NA	cog:COG2873	NA	NA	ec:2.5.1.49	go:0003961	NA	NA	path:ko00270;path:ko01100;path:map00270;path:map01100	pmid:11566369	rc:RC00020;rc:RC00196;rc:RC02821;rc:RC02848	rn:R00651;rn:R01287;rn:R02026;rn:R04859	NA	NA	metY; O-acetylhomoserine (thiol)-lyase
Unknown_BF302-01R0002_00086	K00942	br:ko00001;br:ko01000	NA	cog:COG0194	NA	NA	ec:2.7.4.8	go:0004385	md:M00050	NA	path:ko00230;path:ko01100;path:ko01232;path:map00230;path:map01100;path:map01232	pmid:14594851	rc:RC00002	rn:R00332;rn:R02090;rn:R12852	NA	NA	gmk, GUK1; guanylate kinase
Unknown_BF302-01R0002_00091	K00548	br:ko00001;br:ko01000	NA	cog:COG0646;cog:COG1410	ds:H00262;ds:H01285	NA	ec:2.1.1.13	go:0008705	md:M00017	NA	path:ko00270;path:ko00450;path:ko00670;path:ko01100;path:ko01110;path:ko01230;path:map00270;path:map00450;path:map00670;path:map01100;path:map01110;path:map01230	pmid:2668277	rc:RC00035;rc:RC00113;rc:RC01241	rn:R00946;rn:R09365	NA	NA	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase
Unknown_BF302-01R0002_00093	K06409	br:ko00001;br:ko02000	NA	cog:COG2244	NA	NA	NA	NA	NA	NA	NA	pmid:1744050	NA	NA	tc:2.A.66.2.14	NA	spoVB; stage V sporulation protein B
Unknown_BF302-01R0002_00094	K02356	br:ko00001;br:ko03012	NA	cog:COG0231	NA	NA	NA	go:0003746	NA	NA	NA	pmid:18201202	NA	NA	NA	NA	efp; elongation factor P
Unknown_BF302-01R0002_00095	K01808	br:ko00001;br:ko01000	NA	cog:COG0698	NA	NA	ec:5.3.1.6	go:0004751	md:M00004;md:M00007;md:M00165;md:M00167	NA	path:ko00030;path:ko00051;path:ko00710;path:ko01100;path:ko01110;path:ko01120;path:ko01200;path:ko01230;path:map00030;path:map00051;path:map00710;path:map01100;path:map01110;path:map01120;path:map01200;path:map01230	pmid:8576032;pmid:9401019	rc:RC00376;rc:RC00434	rn:R01056;rn:R09030	NA	NA	rpiB; ribose 5-phosphate isomerase B
Unknown_BF302-01R0002_00096	K07015	br:ko00001;br:ko01000	NA	cog:COG2179	NA	NA	NA	NA	NA	NA	NA	pmid:27784292	NA	NA	NA	NA	yqeG; putative phosphatase
Unknown_BF302-01R0002_00097	K07738	br:ko00001;br:ko03000	NA	cog:COG1327	NA	NA	NA	NA	NA	NA	NA	pmid:17496099	NA	NA	NA	NA	nrdR; transcriptional repressor NrdR
Unknown_BF302-01R0002_00099	K06942	br:ko00001;br:ko03009	NA	cog:COG0012	NA	NA	NA	NA	NA	NA	NA	pmid:21527254	NA	NA	NA	NA	ychF; ribosome-binding ATPase
Unknown_BF302-01R0002_00100	K03480	br:ko00001;br:ko03000	NA	cog:COG3711	NA	NA	NA	NA	NA	NA	NA	pmid:11902727	NA	NA	NA	NA	glcT; transcriptional antiterminator
Unknown_BF302-01R0002_00101	K20118	br:ko00001;br:ko01000;br:ko02000	NA	cog:COG1263;cog:COG1264;cog:COG2190	NA	NA	ec:2.7.1.199	go:0005355;go:0008982	NA	NA	path:ko00010;path:ko00520;path:ko01100;path:ko02060;path:map00010;path:map00520;path:map01100;path:map02060	pmid:10537210;pmid:1956301	rc:RC00017;rc:RC03206	rn:R02738	tc:4.A.1.1.13;tc:4.A.1.1.14;tc:4.A.1.1.9	NA	ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component
Unknown_BF302-01R0002_00102	K22452	br:ko00001;br:ko01000	NA	cog:COG1305	NA	NA	ec:2.3.2.13	go:0003810	NA	NA	NA	pmid:23209712	NA	NA	NA	NA	tgpA; protein-glutamine gamma-glutamyltransferase
Unknown_BF302-01R0002_00104	K03924	br:ko00001;br:ko01000	NA	cog:COG0714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	moxR; MoxR-like ATPase
Unknown_BF302-01R0002_00106	K03086	br:ko00001;br:ko03021	NA	cog:COG0568	NA	NA	NA	go:0016987	NA	NA	path:ko02040;path:map02040	pmid:8289270	NA	NA	NA	NA	rpoD; RNA polymerase primary sigma factor
Unknown_BF302-01R0002_00107	K03308	br:ko00001	NA	cog:COG0733	NA	NA	NA	go:0005328	NA	NA	NA	NA	NA	NA	tc:2.A.22.4;tc:2.A.22.5	NA	TC.NSS; neurotransmitter:Na+ symporter, NSS family
Unknown_BF302-01R0002_00108	K03310	br:ko00001	NA	cog:COG1115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tc:2.A.25	NA	TC.AGCS; alanine or glycine:cation symporter, AGCS family
