QUERY	KO	BRITE	CAZY	COG	DISEASE	DRUG	ENZYME	GO	MODULE	NETWORK	PATHWAY	PUBMED	RCLASS	REACTION	TC	VP	DESCRIPTION
Unknown_BF302-01R0003_00023	K06012	br:ko00001;br:ko01000;br:ko01002	NA	NA	NA	NA	ec:3.4.24.78	NA	NA	NA	NA	pmid:9748439	NA	NA	NA	NA	gpr; spore protease
Unknown_BF302-01R0003_00024	K06385	br:ko00001	NA	NA	NA	NA	NA	NA	NA	NA	NA	pmid:7836306	NA	NA	NA	NA	spoIIP; stage II sporulation protein P
Unknown_BF302-01R0003_00025	K03596	br:ko00001	NA	cog:COG0481	NA	NA	NA	NA	NA	NA	path:ko05134;path:map05134	pmid:18363881;pmid:20045415;pmid:20375353	NA	NA	NA	NA	lepA; GTP-binding protein LepA
Unknown_BF302-01R0003_00026	K02495	br:ko00001;br:ko01000	NA	cog:COG0635	NA	NA	ec:1.3.98.3	go:0051989	md:M00121	NA	path:ko00860;path:ko01100;path:ko01110;path:ko01240;path:map00860;path:map01100;path:map01110;path:map01240	pmid:12114526	rc:RC00884	rn:R06895	NA	NA	hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase
Unknown_BF302-01R0003_00027	K05896	br:ko00001;br:ko03036	NA	cog:COG1354	NA	NA	NA	NA	NA	NA	NA	pmid:12100548	NA	NA	NA	NA	scpA; segregation and condensation protein A
Unknown_BF302-01R0003_00028	K06024	br:ko00001;br:ko03036	NA	cog:COG1386	NA	NA	NA	NA	NA	NA	NA	pmid:12100548	NA	NA	NA	NA	scpB; segregation and condensation protein B
Unknown_BF302-01R0003_00029	K07258	br:ko00001;br:ko01000;br:ko01002;br:ko01011	NA	cog:COG1686	NA	NA	ec:3.4.16.4	go:0008658;go:0009002	NA	NA	path:ko00550;path:ko01100;path:map00550;path:map01100	pmid:12354237;pmid:26867711;pmid:7002918;pmid:8955390	NA	NA	NA	NA	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)
Unknown_BF302-01R0003_00030	K01604	br:ko00001;br:ko01000;br:ko02000	NA	NA	NA	NA	ec:7.2.4.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	mmdA; methylmalonyl-CoA decarboxylase subunit alpha
Unknown_BF302-01R0003_00031	K23352	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	path:ko00362;path:ko00650;path:ko01120;path:map00362;path:map00650;path:map01120	NA	rc:RC00832	rn:R03028	NA	NA	gcdD, mmdD; glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit delta
Unknown_BF302-01R0003_00032	K23351	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	path:ko00362;path:ko00650;path:ko01120;path:map00362;path:map00650;path:map01120	NA	rc:RC00832	rn:R03028	NA	NA	gcdC, mmdC; glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit gamma
Unknown_BF302-01R0003_00033	K20509	br:ko00001;br:ko01000;br:ko02000	NA	cog:COG1883	NA	NA	ec:7.2.4.1	NA	NA	NA	path:ko00362;path:ko00620;path:ko00650;path:ko01100;path:ko01120;path:map00362;path:map00620;path:map00650;path:map01100;path:map01120	pmid:10027965;pmid:1331067;pmid:9128730;pmid:9428714	rc:RC00040;rc:RC00253;rc:RC00832	rn:R03028;rn:R09509;rn:R12212	tc:3.B.1.1	NA	madB, oadB, gcdB, mmdB; carboxybiotin decarboxylase
Unknown_BF302-01R0003_00034	K01571	br:ko00001;br:ko01000;br:ko02000	NA	cog:COG3632	NA	NA	ec:7.2.4.2	go:0008948	NA	NA	path:ko00620;path:ko01100;path:map00620;path:map01100	pmid:1331067	rc:RC00040	rn:R12212	tc:3.B.1.1.1;tc:3.B.1.1.6	NA	oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha
Unknown_BF302-01R0003_00037	K00945	br:ko00001;br:ko01000	NA	cog:COG0283	NA	NA	ec:2.7.4.25	go:0036430;go:0036431	NA	NA	path:ko00240;path:ko01100;path:ko01232;path:map00240;path:map01100;path:map01232	pmid:19181797;pmid:7836281	rc:RC00002	rn:R00512;rn:R01665	NA	NA	cmk; CMP/dCMP kinase
Unknown_BF302-01R0003_00038	K03527	br:ko00001;br:ko01000	NA	cog:COG0761	NA	NA	ec:1.17.7.4	go:0051745	md:M00096	NA	path:ko00900;path:ko01100;path:ko01110;path:map00900;path:map01100;path:map01110	pmid:11818558	rc:RC01137;rc:RC01487	rn:R05884;rn:R08210	NA	NA	ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
Unknown_BF302-01R0003_00040	K00575	br:ko00001;br:ko01000;br:ko02035	NA	cog:COG1352	NA	NA	ec:2.1.1.80	go:0008983	NA	NA	path:ko02020;path:ko02030;path:map02020;path:map02030	pmid:19203648;pmid:3298235	NA	NA	NA	NA	cheR; chemotaxis protein methyltransferase CheR
Unknown_BF302-01R0003_00041	K07502	br:ko00001	NA	cog:COG3359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yprB; uncharacterized protein
Unknown_BF302-01R0003_00042	K03615	br:ko00001;br:ko01000	NA	cog:COG4656	NA	NA	ec:7.1.1.11;ec:7.2.1.2	NA	NA	NA	NA	pmid:19222539	NA	NA	tc:3.D.6.1	NA	rnfC; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C
Unknown_BF302-01R0003_00043	K03614	br:ko00001;br:ko01000	NA	cog:COG1805	NA	NA	ec:7.1.1.11;ec:7.2.1.2	NA	NA	NA	NA	pmid:19222539	NA	NA	tc:3.D.6.1	NA	rnfD; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D
Unknown_BF302-01R0003_00044	K03612	br:ko00001	NA	cog:COG2869	NA	NA	NA	NA	NA	NA	NA	pmid:19222539	NA	NA	tc:3.D.6.1	NA	rnfG; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G
Unknown_BF302-01R0003_00045	K03613	br:ko00001	NA	cog:COG1347	NA	NA	NA	NA	NA	NA	NA	pmid:19222539	NA	NA	tc:3.D.6.1	NA	rnfE; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E
Unknown_BF302-01R0003_00046	K03617	br:ko00001	NA	cog:COG2209	NA	NA	NA	NA	NA	NA	NA	pmid:19222539	NA	NA	tc:3.D.6.1	NA	rnfA; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A
Unknown_BF302-01R0003_00047	K03616	br:ko00001;br:ko01000	NA	cog:COG2878	NA	NA	ec:7.1.1.11;ec:7.2.1.2	NA	NA	NA	NA	pmid:19222539	NA	NA	tc:3.D.6.1	NA	rnfB; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B
Unknown_BF302-01R0003_00048	K03734	br:ko00001;br:ko01000	NA	cog:COG1477	NA	NA	ec:2.7.1.180	NA	NA	NA	NA	pmid:23558683	NA	NA	NA	NA	apbE; FAD:protein FMN transferase
Unknown_BF302-01R0003_00049	K00931	br:ko00001;br:ko01000	NA	cog:COG0263	NA	NA	ec:2.7.2.11	go:0004349	md:M00015	NA	path:ko00330;path:ko00332;path:ko01100;path:ko01110;path:ko01230;path:map00330;path:map00332;path:map01100;path:map01110;path:map01230	pmid:1350780;pmid:6319365	rc:RC00002;rc:RC00043	rn:R00239	NA	NA	proB; glutamate 5-kinase
Unknown_BF302-01R0003_00051	K01934	br:ko00001;br:ko01000	NA	cog:COG0212	ds:H02461	NA	ec:6.3.3.2	go:0030272	NA	NA	path:ko00670;path:ko01100;path:map00670;path:map01100	pmid:8522195	rc:RC00183	rn:R02301	NA	NA	MTHFS; 5-formyltetrahydrofolate cyclo-ligase
Unknown_BF302-01R0003_00052	K00147	br:ko00001;br:ko01000	NA	cog:COG0014	NA	NA	ec:1.2.1.41	go:0004350	md:M00015	NA	path:ko00330;path:ko00332;path:ko01100;path:ko01110;path:ko01230;path:map00330;path:map00332;path:map01100;path:map01110;path:map01230	pmid:7035170	rc:RC00684	rn:R03313	NA	NA	proA; glutamate-5-semialdehyde dehydrogenase
Unknown_BF302-01R0003_00053	K06168	br:ko00001;br:ko01000;br:ko03016	NA	cog:COG0621	NA	NA	ec:2.8.4.3	NA	NA	NA	NA	pmid:10572129;pmid:17407324	rc:RC00003;rc:RC00980;rc:RC03221;rc:RC03222	rn:R10645;rn:R10646;rn:R10647	NA	NA	miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase
Unknown_BF302-01R0003_00056	K03550	br:ko00001;br:ko01000;br:ko03400	NA	cog:COG0632	NA	NA	ec:5.6.2.4	go:0009378	NA	NA	path:ko03440;path:map03440	pmid:15556943;pmid:8433990	NA	NA	NA	NA	ruvA; holliday junction DNA helicase RuvA
Unknown_BF302-01R0003_00057	K03551	br:ko00001;br:ko01000;br:ko03400	NA	cog:COG2255	NA	NA	ec:5.6.2.4	go:0009378	NA	NA	path:ko03440;path:map03440	pmid:15556943;pmid:8433990	NA	NA	NA	NA	ruvB; holliday junction DNA helicase RuvB
Unknown_BF302-01R0003_00058	K09888	br:ko00001;br:ko03036	NA	cog:COG3027	NA	NA	NA	NA	NA	NA	NA	pmid:12368265;pmid:20487275	NA	NA	NA	NA	zapA; cell division protein ZapA
Unknown_BF302-01R0003_00059	K08303	br:ko00001;br:ko01000;br:ko01002	NA	cog:COG0826	NA	NA	NA	NA	NA	NA	path:ko05120;path:map05120	pmid:12668646;pmid:28131950;pmid:31253794	NA	NA	NA	NA	prtC, trhP; U32 family peptidase
Unknown_BF302-01R0003_00061	K05364	br:ko00001;br:ko01011	NA	cog:COG0768	NA	NA	NA	go:0008658	NA	NA	path:ko00550;path:ko01100;path:map00550;path:map01100	pmid:20206184;pmid:8592990	rc:RC00005;rc:RC00049	rn:R04519;rn:R06177	NA	NA	pbpA; penicillin-binding protein A
Unknown_BF302-01R0003_00066	K02902	br:br01610;br:ko00001;br:ko03011	NA	cog:COG0227	NA	NA	NA	go:0005762;go:0022625	NA	NA	path:ko03010;path:map03010	pmid:9294008	NA	NA	NA	NA	RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28
Unknown_BF302-01R0003_00068	K07030	br:ko00001;br:ko01000	NA	cog:COG1461	NA	NA	ec:2.7.2.18	NA	NA	NA	NA	pmid:25002480	NA	NA	NA	NA	fakA; fatty acid kinase
Unknown_BF302-01R0003_00069	K03655	br:ko00001;br:ko01000;br:ko03400	NA	cog:COG1200	NA	NA	ec:5.6.2.4	NA	NA	NA	path:ko03440;path:map03440	pmid:7957087	NA	NA	NA	NA	recG; ATP-dependent DNA helicase RecG
Unknown_BF302-01R0003_00072	K00942	br:ko00001;br:ko01000	NA	cog:COG0194	NA	NA	ec:2.7.4.8	go:0004385	md:M00050	NA	path:ko00230;path:ko01100;path:ko01232;path:map00230;path:map01100;path:map01232	pmid:14594851	rc:RC00002	rn:R00332;rn:R02090;rn:R12852	NA	NA	gmk, GUK1; guanylate kinase
Unknown_BF302-01R0003_00073	K03060	br:br01611;br:ko00001;br:ko01000;br:ko03021;br:ko03400	NA	cog:COG1758	NA	NA	ec:2.7.7.6	go:0003899	NA	NA	path:ko03020;path:map03020	pmid:19926651	NA	NA	NA	NA	rpoZ; DNA-directed RNA polymerase subunit omega
Unknown_BF302-01R0003_00074	K14441	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0621	NA	NA	ec:2.8.4.4	go:0035599	NA	NA	NA	pmid:18252828;pmid:21169565	rc:RC00003;rc:RC03217	rn:R10652	NA	NA	rimO; ribosomal protein S12 methylthiotransferase
Unknown_BF302-01R0003_00075	K00995	br:ko00001;br:ko01000	NA	cog:COG0558	NA	NA	ec:2.7.8.5	go:0008444	NA	NA	path:ko00564;path:ko01100;path:map00564;path:map01100	pmid:9880566	rc:RC00002;rc:RC00017;rc:RC02795	rn:R01801	NA	NA	pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase
Unknown_BF302-01R0003_00076	K08316	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0742	NA	NA	ec:2.1.1.171	go:0052913	NA	NA	NA	pmid:17189261;pmid:17389639	rc:RC00003	rn:R07234	NA	NA	rsmD; 16S rRNA (guanine966-N2)-methyltransferase
Unknown_BF302-01R0003_00077	K00954	br:ko00001;br:ko01000	NA	cog:COG0669	NA	NA	ec:2.7.7.3	go:0004595	md:M00120	NA	path:ko00770;path:ko01100;path:ko01240;path:map00770;path:map01100;path:map01240	pmid:10480925	rc:RC00002	rn:R03035	NA	NA	E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase
Unknown_BF302-01R0003_00080	K06183	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG1187	NA	NA	ec:5.4.99.19	go:0009982	NA	NA	NA	pmid:10376875	NA	NA	NA	NA	rsuA; 16S rRNA pseudouridine516 synthase
Unknown_BF302-01R0003_00082	K06179	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0564	NA	NA	ec:5.4.99.24	go:0009982	NA	NA	NA	pmid:11904174	NA	NA	NA	NA	rluC; 23S rRNA pseudouridine955/2504/2580 synthase
Unknown_BF302-01R0003_00083	K03700	br:ko00001;br:ko03400	NA	cog:COG3331	NA	NA	NA	NA	NA	NA	NA	pmid:16154091	NA	NA	NA	NA	recU; recombination protein U
Unknown_BF302-01R0003_00084	K02502	br:ko00001	NA	cog:COG3705	NA	NA	NA	NA	md:M00026	NA	path:ko00340;path:ko01100;path:ko01110;path:ko01230;path:map00340;path:map01100;path:map01110;path:map01230	pmid:10430882;pmid:10795825	rc:RC02819;rc:RC03200	rn:R01071	NA	NA	hisZ; ATP phosphoribosyltransferase regulatory subunit
Unknown_BF302-01R0003_00085	K00765	br:ko00001;br:ko01000	NA	cog:COG0040	NA	NA	ec:2.4.2.17	go:0003879	md:M00026	NA	path:ko00340;path:ko01100;path:ko01110;path:ko01230;path:map00340;path:map01100;path:map01110;path:map01230	pmid:3062174	rc:RC02819;rc:RC03200	rn:R01071	NA	NA	hisG; ATP phosphoribosyltransferase
Unknown_BF302-01R0003_00086	K00013	br:ko00001;br:ko01000	NA	cog:COG0141	NA	NA	ec:1.1.1.23	go:0004399	md:M00026	NA	path:ko00340;path:ko01100;path:ko01110;path:ko01230;path:map00340;path:map01100;path:map01110;path:map01230	pmid:21672513	rc:RC00099;rc:RC00242;rc:RC00463	rn:R01158;rn:R01163;rn:R03012	NA	NA	hisD; histidinol dehydrogenase
Unknown_BF302-01R0003_00087	K01693	br:ko00001;br:ko01000	NA	cog:COG0131	NA	NA	ec:4.2.1.19	go:0004424	md:M00026	NA	path:ko00340;path:ko01100;path:ko01110;path:ko01230;path:map00340;path:map01100;path:map01110;path:map01230	pmid:8045413	rc:RC00932	rn:R03457	NA	NA	hisB; imidazoleglycerol-phosphate dehydratase
Unknown_BF302-01R0003_00088	K11755	br:ko00001;br:ko01000	NA	cog:COG0139;cog:COG0140	NA	NA	ec:3.5.4.19;ec:3.6.1.31	go:0004635;go:0004636	md:M00026	NA	path:ko00340;path:ko01100;path:ko01110;path:ko01230;path:map00340;path:map01100;path:map01110;path:map01230	pmid:9733547	rc:RC00002;rc:RC01055	rn:R04035;rn:R04037	NA	NA	hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase
Unknown_BF302-01R0003_00091	K08301	br:ko00001;br:ko01000;br:ko03009;br:ko03019	NA	cog:COG1530	NA	NA	NA	NA	NA	NA	NA	pmid:10362534;pmid:19778900	NA	NA	NA	NA	rng, cafA; ribonuclease G
Unknown_BF302-01R0003_00092	K02888	br:br01610;br:ko00001;br:ko03011	NA	cog:COG0261	NA	NA	NA	go:0005762;go:0022625	NA	NA	path:ko03010;path:map03010	pmid:10094780	NA	NA	NA	NA	RP-L21, MRPL21, rplU; large subunit ribosomal protein L21
Unknown_BF302-01R0003_00093	K07584	br:ko00001	NA	cog:COG2868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ysxB; uncharacterized protein
Unknown_BF302-01R0003_00094	K02899	br:br01610;br:ko00001;br:ko03011	NA	cog:COG0211	NA	NA	NA	go:0005762;go:0022625	NA	NA	path:ko03010;path:map03010	pmid:11673426	NA	NA	NA	NA	RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27
Unknown_BF302-01R0003_00095	K03979	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0536	NA	NA	NA	NA	NA	NA	NA	pmid:16980477;pmid:23396448	NA	NA	NA	NA	obgE, cgtA, MTG2; GTPase
Unknown_BF302-01R0003_00096	K07574	br:ko00001;br:ko03009	NA	cog:COG1534	NA	NA	NA	NA	NA	NA	NA	pmid:16980477;pmid:17337586	NA	NA	NA	NA	yhbY; RNA-binding protein
Unknown_BF302-01R0003_00097	K00969	br:ko00001;br:ko01000	NA	cog:COG1057	NA	NA	ec:2.7.7.18	go:0004515	md:M00115;md:M00912	NA	path:ko00760;path:ko01100;path:ko01240;path:map00760;path:map01100;path:map01240	pmid:10894752	rc:RC00002	rn:R00137;rn:R03005	NA	NA	nadD; nicotinate-nucleotide adenylyltransferase
Unknown_BF302-01R0003_00099	K09710	br:ko00001;br:ko03009	NA	cog:COG0799	NA	NA	NA	NA	NA	NA	NA	pmid:16980477;pmid:22829778	NA	NA	NA	NA	ybeB; ribosome-associated protein
Unknown_BF302-01R0003_00100	K01356	br:ko00001;br:ko01000;br:ko01002;br:ko03400	NA	cog:COG1974	NA	NA	ec:3.4.21.88	NA	NA	NA	NA	pmid:7027256	NA	NA	NA	NA	lexA; repressor LexA
Unknown_BF302-01R0003_00103	K00655	br:ko00001;br:ko01000;br:ko01004	NA	cog:COG0204	NA	NA	ec:2.3.1.51	go:0003841	md:M00089	NA	path:ko00561;path:ko00564;path:ko01100;path:ko01110;path:map00561;path:map00564;path:map01100;path:map01110	pmid:1557036;pmid:16949372	rc:RC00004;rc:RC00037;rc:RC00039	rn:R02241;rn:R09381	NA	NA	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase
Unknown_BF302-01R0003_00104	K03733	br:ko00001;br:ko03036	NA	cog:COG4973	NA	NA	NA	NA	NA	NA	NA	pmid:10037776	NA	NA	NA	NA	xerC; integrase/recombinase XerC
Unknown_BF302-01R0003_00109	K07560	br:ko00001;br:ko01000;br:ko03016	NA	cog:COG1490	NA	NA	ec:3.1.1.96	go:0051499	NA	NA	NA	pmid:10766779;pmid:20445234	NA	NA	NA	NA	dtd, DTD; D-aminoacyl-tRNA deacylase
Unknown_BF302-01R0003_00111	K14058	br:ko00001;br:ko03016	NA	cog:COG0037	NA	NA	NA	NA	NA	NA	NA	pmid:14729701	NA	NA	NA	NA	ttcA; tRNA 2-thiocytidine biosynthesis protein TtcA
Unknown_BF302-01R0003_00112	K03406	br:ko00001;br:ko02035	NA	cog:COG0840	NA	NA	NA	NA	NA	NA	path:ko02020;path:ko02030;path:map02020;path:map02030	pmid:19203648;pmid:8188684	NA	NA	NA	NA	mcp; methyl-accepting chemotaxis protein
Unknown_BF302-01R0003_00113	K09952	br:ko00001;br:ko01000;br:ko02048	NA	cog:COG3513	NA	NA	NA	NA	NA	NA	NA	pmid:21455174	NA	NA	NA	NA	csn1, cas9; CRISPR-associated endonuclease Csn1
Unknown_BF302-01R0003_00114	K15342	br:ko00001;br:ko02048;br:ko03400	NA	cog:COG1518	NA	NA	NA	NA	NA	NA	NA	pmid:21219465	NA	NA	NA	NA	cas1; CRISP-associated protein Cas1
Unknown_BF302-01R0003_00115	K09951	br:ko00001;br:ko02048	NA	cog:COG3512	NA	NA	NA	NA	NA	NA	NA	pmid:21552286;pmid:24793649	NA	NA	NA	NA	cas2; CRISPR-associated protein Cas2
Unknown_BF302-01R0003_00119	K06199	br:ko00001;br:ko02000	NA	cog:COG0239	NA	NA	NA	go:1903425	NA	NA	NA	pmid:26055717;pmid:8844142	NA	NA	tc:1.A.43.1;tc:1.A.43.2;tc:1.A.43.3	NA	crcB, FEX; fluoride exporter
Unknown_BF302-01R0003_00122	K24180	br:ko00001;br:ko02000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mleP; malate permease and related proteins
Unknown_BF302-01R0003_00123	K00101---K00467---K16422	br:ko00001;br:ko01000---br:ko00001;br:ko01000---br:ko00001;br:ko01000;br:ko01008	NA---NA---NA	cog:COG1304---cog:COG1304---NA	NA---NA---NA	NA---NA---NA	ec:1.1.2.3---ec:1.13.12.4---ec:1.1.3.46	go:0004460---go:0050040---NA	NA---NA---NA	NA---NA---NA	path:ko00620;path:ko01100;path:map00620;path:map01100---path:ko00620;path:ko01100;path:map00620;path:map01100---path:ko00261;path:ko01055;path:ko01100;path:ko01110;path:map00261;path:map01055;path:map01100;path:map01110	pmid:3004948---pmid:2324094---pmid:11137816;pmid:12445768;pmid:15271351	rc:RC00044---rc:RC01312---rc:RC00240	rn:R00196---rn:R00319---rn:R06633	NA---NA---NA	NA---NA---NA	lldD; L-lactate dehydrogenase (cytochrome)---E1.13.12.4; lactate 2-monooxygenase---hmo, nocN; 4-hydroxymandelate oxidase
Unknown_BF302-01R0003_00124	K00945	br:ko00001;br:ko01000	NA	cog:COG0283	NA	NA	ec:2.7.4.25	go:0036430;go:0036431	NA	NA	path:ko00240;path:ko01100;path:ko01232;path:map00240;path:map01100;path:map01232	pmid:19181797;pmid:7836281	rc:RC00002	rn:R00512;rn:R01665	NA	NA	cmk; CMP/dCMP kinase
Unknown_BF302-01R0003_00125	K06180	br:ko00001;br:ko01000;br:ko03009	NA	cog:COG0564	NA	NA	ec:5.4.99.23	go:0009982	NA	NA	NA	pmid:11087118	NA	NA	NA	NA	rluD; 23S rRNA pseudouridine1911/1915/1917 synthase
Unknown_BF302-01R0003_00126	K03101	br:ko00001;br:ko01000;br:ko01002	NA	cog:COG0597	NA	NA	ec:3.4.23.36	NA	NA	NA	path:ko03060;path:map03060	pmid:1544479;pmid:6378662	NA	NA	NA	NA	lspA; signal peptidase II
Unknown_BF302-01R0003_00127	K09772	br:ko00001;br:ko03036	NA	cog:COG1799	NA	NA	NA	NA	NA	NA	NA	pmid:18782755	NA	NA	NA	NA	sepF; cell division inhibitor SepF
Unknown_BF302-01R0003_00128	K06997	br:ko00001	NA	cog:COG0325	ds:H02250	NA	NA	NA	NA	NA	NA	pmid:24097949	NA	NA	NA	NA	yggS, PROSC; PLP dependent protein
Unknown_BF302-01R0003_00131	K07258	br:ko00001;br:ko01000;br:ko01002;br:ko01011	NA	cog:COG1686	NA	NA	ec:3.4.16.4	go:0008658;go:0009002	NA	NA	path:ko00550;path:ko01100;path:map00550;path:map01100	pmid:12354237;pmid:26867711;pmid:7002918;pmid:8955390	NA	NA	NA	NA	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)
Unknown_BF302-01R0003_00132	K01734	br:ko00001;br:ko01000	NA	cog:COG1803	NA	NA	ec:4.2.3.3	go:0008929	NA	NA	path:ko00640;path:ko01100;path:ko01120;path:map00640;path:map01100;path:map01120	pmid:9489667	rc:RC00424	rn:R01016	NA	NA	mgsA; methylglyoxal synthase
